entity_code,period,gl_account,amount
002,03-2026,4000,227706.27
002,03-2026,4001,308726.74
002,03-2026,4002,215467.41
002,03-2026,4003,495876.92
002,03-2026,4004,514998.98
002,03-2026,4005,336228.99
002,03-2026,4006,499795.23
002,03-2026,4100,185845.64
002,03-2026,4101,259567.77
002,03-2026,4102,154728.33
002,03-2026,4103,208041.13
002,03-2026,4104,177173.09
002,03-2026,4105,205045.1
002,03-2026,4200,66658.81
002,03-2026,4201,66541.77
002,03-2026,4202,39749.96
002,03-2026,4203,45646.79
002,03-2026,4300,30287.12
002,03-2026,4301,35438.33
002,03-2026,4302,32973.02
002,03-2026,4303,33683.12
002,03-2026,4400,8939.97
002,03-2026,4401,16712.2
002,03-2026,4402,16098.48
002,03-2026,4403,12781.71
002,03-2026,5000,89131.44
002,03-2026,5001,82915.55
002,03-2026,5002,54724.58
002,03-2026,5003,54265.88
002,03-2026,5004,86926.42
002,03-2026,5005,75681.02
002,03-2026,5100,29741.74
002,03-2026,5101,19127.95
002,03-2026,5102,42635.02
002,03-2026,5103,36471.3
002,03-2026,5104,37856.17
002,03-2026,5105,39083.53
002,03-2026,5200,59498.69
002,03-2026,5201,80738.33
002,03-2026,5202,67555.19
002,03-2026,5203,89521.24
002,03-2026,5204,75373.66
002,03-2026,5300,61748.1
002,03-2026,5301,77976.19
002,03-2026,5302,82281.52
002,03-2026,5303,85472.42
002,03-2026,5304,72025.81
002,03-2026,5400,22036.95
002,03-2026,5401,24023.72
002,03-2026,5402,22138.45
002,03-2026,5403,20846.49
002,03-2026,5404,37863.37
002,03-2026,5500,17651.27
002,03-2026,5501,23564.62
002,03-2026,5502,26303.48
002,03-2026,5600,13400.13
002,03-2026,5601,8496.55
002,03-2026,5602,12139.59
002,03-2026,5700,8963.81
002,03-2026,5701,18595.33
002,03-2026,5702,12772.05
002,03-2026,5703,12176.25
002,03-2026,6000,33047.22
002,03-2026,6001,21813.3
002,03-2026,6002,32062.75
002,03-2026,6003,23176.96
002,03-2026,6004,33031.89
002,03-2026,6005,42437.06
002,03-2026,6006,39328.67
002,03-2026,6007,32378.12
002,03-2026,6008,39466.44
002,03-2026,6009,24294.56
002,03-2026,6100,29415.89
002,03-2026,6101,44122.51
002,03-2026,6102,37269.02
002,03-2026,6103,29587.88
002,03-2026,6104,37150.46
002,03-2026,6105,27555.45
002,03-2026,6106,54248.92
002,03-2026,6107,47339.13
002,03-2026,6200,32077.49
002,03-2026,6201,32109.08
002,03-2026,6202,28818.76
002,03-2026,6203,18662.03
002,03-2026,6204,27840.63
002,03-2026,6205,22087.62
002,03-2026,6206,15858.78
002,03-2026,6207,26151.53
002,03-2026,6300,44521.61
002,03-2026,6301,47887.04
002,03-2026,6302,45983.27
002,03-2026,6303,31144.96
002,03-2026,6304,38037.89
002,03-2026,6400,21229.98
002,03-2026,6401,20303.47
002,03-2026,6402,9951.11
002,03-2026,6403,21170.31
002,03-2026,6404,14504.83
002,03-2026,6500,15047.98
002,03-2026,6501,14863.63
002,03-2026,6502,23019.7
002,03-2026,6503,20006.04
002,03-2026,6504,9811.77
002,03-2026,6600,18300.37
002,03-2026,6601,17842.5
002,03-2026,6602,25478.58
002,03-2026,7000,61056.66
002,03-2026,7001,26954.03
002,03-2026,7002,37865.93
002,03-2026,7100,37837.1
002,03-2026,7101,82482.38
002,03-2026,7200,26837.59
002,03-2026,7201,15786.68
002,03-2026,7202,20052.22
002,03-2026,7300,16873.96
002,03-2026,7301,22513.03
002,03-2026,7400,26078.62
002,03-2026,7401,23597.38
002,03-2026,7402,30672.15
002,03-2026,7500,92757.54
002,03-2026,7501,43557.06
002,03-2026,7502,46153.57
002,03-2026,7503,75403.3
002,03-2026,7600,31219.07
002,03-2026,7601,29805.38
