entity_code,period,gl_account,amount
003,03-2026,4000,144003.07
003,03-2026,4001,195240.99
003,03-2026,4002,136263.13
003,03-2026,4003,313596.1
003,03-2026,4004,325689.03
003,03-2026,4005,212633.61
003,03-2026,4006,316074.07
003,03-2026,4100,38487.53
003,03-2026,4101,53754.95
003,03-2026,4102,32043.32
003,03-2026,4103,43084.08
003,03-2026,4104,36691.5
003,03-2026,4105,42463.62
003,03-2026,4300,15040.42
003,03-2026,4301,17598.49
003,03-2026,4302,16374.23
003,03-2026,4303,16726.86
003,03-2026,4400,5388.67
003,03-2026,4401,10073.47
003,03-2026,4402,9703.54
003,03-2026,4403,7704.32
003,03-2026,5000,59434.37
003,03-2026,5001,55289.5
003,03-2026,5002,36491.29
003,03-2026,5003,36185.42
003,03-2026,5004,57964.02
003,03-2026,5005,50465.4
003,03-2026,5100,19083.18
003,03-2026,5101,12273.06
003,03-2026,5102,27355.89
003,03-2026,5103,23401.07
003,03-2026,5104,24289.64
003,03-2026,5105,25077.16
003,03-2026,5200,11807.15
003,03-2026,5201,16022.03
003,03-2026,5202,13405.92
003,03-2026,5203,17764.95
003,03-2026,5204,14957.45
003,03-2026,5300,14039.0
003,03-2026,5301,17728.61
003,03-2026,5302,18707.46
003,03-2026,5303,19432.95
003,03-2026,5304,16375.73
003,03-2026,5400,4280.75
003,03-2026,5401,4666.69
003,03-2026,5402,4300.47
003,03-2026,5403,4049.5
003,03-2026,5404,7355.09
003,03-2026,5700,4489.12
003,03-2026,5701,9312.64
003,03-2026,5702,6396.31
003,03-2026,5703,6097.93
003,03-2026,6000,16376.64
003,03-2026,6001,10809.64
003,03-2026,6002,15888.79
003,03-2026,6003,11485.41
003,03-2026,6004,16369.05
003,03-2026,6005,21029.81
003,03-2026,6006,19489.44
003,03-2026,6007,16045.07
003,03-2026,6008,19557.71
003,03-2026,6009,12039.24
003,03-2026,6100,13351.7
003,03-2026,6101,20026.95
003,03-2026,6102,16916.19
003,03-2026,6103,13429.77
003,03-2026,6104,16862.38
003,03-2026,6105,12507.25
003,03-2026,6106,24623.26
003,03-2026,6107,21486.95
003,03-2026,6200,15665.17
003,03-2026,6201,15680.59
003,03-2026,6202,14073.75
003,03-2026,6203,9113.67
003,03-2026,6204,13596.08
003,03-2026,6205,10786.58
003,03-2026,6206,7744.7
003,03-2026,6207,12771.2
003,03-2026,6300,21326.59
003,03-2026,6301,22938.69
003,03-2026,6302,22026.75
003,03-2026,6303,14918.95
003,03-2026,6304,18220.78
003,03-2026,6400,9687.66
003,03-2026,6401,9264.88
003,03-2026,6402,4540.89
003,03-2026,6403,9660.43
003,03-2026,6404,6618.84
003,03-2026,6500,7232.69
003,03-2026,6501,7144.09
003,03-2026,6502,11064.23
003,03-2026,6503,9615.74
003,03-2026,6504,4715.95
003,03-2026,6600,8858.79
003,03-2026,6601,8637.14
003,03-2026,6602,12333.6
003,03-2026,7000,28937.72
003,03-2026,7001,12774.82
003,03-2026,7002,17946.51
003,03-2026,7100,18761.1
003,03-2026,7101,40897.95
003,03-2026,7200,12772.77
003,03-2026,7201,7513.33
003,03-2026,7202,9543.42
003,03-2026,7300,8519.6
003,03-2026,7301,11366.75
003,03-2026,7400,12909.03
003,03-2026,7401,11680.81
003,03-2026,7402,15182.86
003,03-2026,7500,42919.26
003,03-2026,7501,20154.01
003,03-2026,7502,21355.43
003,03-2026,7503,34889.39
003,03-2026,7600,15260.28
003,03-2026,7601,14569.25
