Category,Act,Act %,Budget,Budget %,Diff,Diff pp
Rooms Revenue,2485400.45,62.34,2441249.99,62.5,44150.46,-0.16
F&B Revenue,1130020.46,28.34,1098562.5,28.13,31457.96,0.22
Spa & Wellness Revenue,196420.74,4.93,195300.0,5.0,1120.74,-0.07
Other Operated Departments Revenue,125642.2,3.15,122062.49,3.12,3579.71,0.03
Miscellaneous & Rental Income,49618.09,1.24,48825.0,1.25,793.09,-0.01
Total Revenue,3987101.94,100.0,3905999.98,100.0,81101.96,0.0
Rooms – Payroll & Related,450743.72,11.31,439425.01,11.25,11318.71,0.06
Rooms – Other Expenses,198959.85,4.99,195299.99,5.0,3659.86,-0.01
F&B – Cost of Sales,334332.34,8.39,329568.75,8.44,4763.59,-0.05
F&B – Payroll & Related,398273.82,9.99,384496.87,9.84,13776.95,0.15
F&B – Other Expenses,110820.27,2.78,109856.25,2.81,964.02,-0.03
Spa & Wellness – Payroll & Related,58740.73,1.47,58590.0,1.5,150.73,-0.03
Spa & Wellness – Other Expenses,29574.16,0.74,29294.99,0.75,279.17,-0.01
Other Operated Departments – Expenses,50863.62,1.28,48825.0,1.25,2038.62,0.03
Total Departmental Expenses,1632308.51,40.94,1595356.86,40.84,36951.65,0.1
Departmental Profit,2354793.43,59.06,2310643.12,59.16,44150.31,-0.1
Administrative & General,364096.38,9.13,312479.99,8.0,51616.39,1.13
Sales & Marketing,281727.9,7.07,273420.01,7.0,8307.89,0.07
Property Operations & Maintenance,199227.19,5.0,195300.0,5.0,3927.19,-0.0
Utilities,200320.6,5.02,195300.0,5.0,5020.6,0.02
IT & Systems,79731.93,2.0,78119.99,2.0,1611.94,-0.0
Human Resources & Training,79661.48,2.0,78120.0,2.0,1541.48,-0.0
Security,60473.03,1.52,58590.0,1.5,1883.03,0.02
Total Undistributed Operating Expenses,1265238.51,31.73,1191329.99,30.5,73908.52,1.23
Gross Operating Profit (GOP),1089554.92,27.33,1119313.13,28.66,-29758.21,-1.33
Management Fees,119132.64,2.99,117180.0,3.0,1952.64,-0.01
Franchise & Brand Fees,120650.65,3.03,117180.0,3.0,3470.65,0.03
Property & Liability Insurance,714458.0,17.92,58590.0,1.5,655868.0,16.42
Property Tax & Licenses,38912.17,0.98,39060.0,1.0,-147.83,-0.02
Rent / Lease,78238.05,1.96,78120.01,2.0,118.04,-0.04
Total Fixed Charges,1071391.51,26.87,410130.01,10.5,661261.5,16.37
EBITDA,18163.41,0.46,709183.12,18.16,-691019.71,-17.7
Depreciation & Amortization,234670.06,5.89,234360.0,6.0,310.06,-0.11
EBIT,-216506.65,-5.43,474823.12,12.16,-691329.77,-17.59
Interest Expense,58526.3,1.47,58590.0,1.5,-63.7,-0.03
Pre-tax Income,-275032.95,-6.9,416233.12,10.66,-691266.07,-17.55
